start_time:1616245091.6313574 end_time:1616245195.3246403 during:103.69328284263611
通过最多 30 个跃点跟踪到 82.156.15.153 的路由

  1     4 ms     5 ms     3 ms  172.23.255.254 
  2     2 ms     3 ms     3 ms  100.64.128.1 
  3     *        *        *     请求超时。
  4     *        *        *     请求超时。
  5     *       19 ms    23 ms  58.19.114.137 
  6    19 ms    19 ms    18 ms  219.158.16.37 
  7     *        *        *     请求超时。
  8    24 ms    23 ms    27 ms  123.126.0.218 
  9    24 ms    24 ms    26 ms  61.49.142.146 
 10     *        *        *     请求超时。
 11    23 ms    23 ms    24 ms  82.156.15.153 

跟踪完成。
