start_time:1616245080.3469014 end_time:1616245225.3157206 during:144.96881914138794
通过最多 30 个跃点跟踪到 1.15.81.154 的路由

  1     2 ms     5 ms     2 ms  172.23.255.254 
  2     7 ms     2 ms     4 ms  100.64.128.1 
  3     2 ms     *        3 ms  58.19.157.137 
  4     *        *        *     请求超时。
  5     *        *        *     请求超时。
  6    18 ms    17 ms    17 ms  219.158.105.25 
  7    21 ms    21 ms    21 ms  211.95.32.98 
  8    24 ms    22 ms    21 ms  220.196.196.14 
  9     *        *        *     请求超时。
 10     *        *        *     请求超时。
 11     *        *        *     请求超时。
 12     *        *        *     请求超时。
 13    21 ms    19 ms    19 ms  1.15.81.154 

跟踪完成。
