start_time:1616167414.1806722 end_time:1616167535.0567243 during:120.87605214118958
通过最多 30 个跃点跟踪到 82.156.15.153 的路由

  1     1 ms     2 ms     1 ms  172.23.255.254 
  2    36 ms     6 ms     2 ms  100.64.128.1 
  3    23 ms     *        *     218.106.127.9 
  4     *        3 ms     *     58.19.113.102 
  5     *        *       21 ms  58.19.114.137 
  6    18 ms    18 ms    22 ms  219.158.16.37 
  7     *        *        *     请求超时。
  8    23 ms    23 ms    23 ms  123.126.0.218 
  9    24 ms    23 ms    23 ms  61.49.142.146 
 10     *        *        *     请求超时。
 11    24 ms    23 ms    24 ms  82.156.15.153 

跟踪完成。
